epoch,train_loss,train_mse,train_phys,val_loss,val_mse
1,4026062617.59793,0.3596631974884958,40260625948.490234,707.3727874755859,0.3643719553947449
2,99349.90070307255,0.34644420038570056,993495.546407344,0.32857905328273773,0.32805202156305313
3,283.8381136845459,0.3125734446626721,2835.255226746025,0.29921705275774,0.29865895211696625
4,3851.68893382766,0.2868073149160905,38514.018684259136,0.27600184082984924,0.27538974583148956
5,147.72633519588095,0.2646458392793482,1474.6168082342483,0.2549232244491577,0.2543242499232292
6,115.35439027078223,0.24442753286072702,1151.099624246119,0.23591827601194382,0.23532556742429733
7,0.2271805184357094,0.22657607676404895,0.006044400220906193,0.2185431346297264,0.21793215349316597
8,312.9164914863579,0.20995501406265027,3127.0654754250622,0.20289535447955132,0.20226101949810982
9,0.19514710569020474,0.19454365878394156,0.0060344621623781595,0.18768924847245216,0.18706028163433075
10,0.1804992642366525,0.17989074642008002,0.006085164703880296,0.17350716516375542,0.1729191355407238
11,0.16695943655389728,0.16634731220476556,0.006121252352992694,0.1604616604745388,0.15983616188168526
12,0.15434860776771198,0.15373850139704617,0.006101058640827735,0.14835626259446144,0.147727370262146
13,0.14259468019008636,0.14198382514895816,0.006108549451737693,0.13713934272527695,0.1365199089050293
14,0.13190507527553674,0.13125222740751324,0.006528470735771187,0.1267652064561844,0.12614453583955765
15,0.12183089825240048,0.12122283108306653,0.006080677662270538,0.1171640008687973,0.1165474709123373
16,0.2815920173218756,0.11209181064006055,1.6950019452805547,0.10855490900576115,0.107913913205266
17,0.10428854439294699,0.10368409549648111,0.00604449442559571,0.10031747445464134,0.09971184656023979
18,0.09636683671763449,0.0957595326683738,0.0060730441473424435,0.09274007566273212,0.09213222935795784
19,0.08913471256241653,0.08852771443851067,0.006069987179767905,0.0857546478509903,0.08514510467648506
20,0.08241229097951543,0.08181149467374339,0.006007967559112744,0.07932746596634388,0.07871928252279758
21,0.07651745708602847,0.07590988278388977,0.0060757420900644675,0.07343730516731739,0.07282041013240814
22,0.07059420329151732,0.0699872426462896,0.006069606198280147,0.06804588623344898,0.06741024740040302
23,133.3884160300773,0.06487345131057681,1333.2353963873095,0.06317567732185125,0.06256518699228764
24,0.060837878535191216,0.06022620821992556,0.006116701007792444,0.058640968054533005,0.05804309993982315
25,0.05645752370809064,0.055857594830520226,0.005999287378720262,0.05449294298887253,0.05388538911938667
26,0.05247751962054859,0.05187347486163631,0.0060404458958091154,0.05070509389042854,0.05010659992694855
