epoch,train_loss,train_mse,train_phys,val_loss,val_mse
1,6378420618.670632,0.5101502239704132,63784206280.26908,0.4212146922945976,0.4193098768591881
2,184.4540481865406,0.4033779926372297,1840.5067158425509,0.38717135787010193,0.3860575407743454
3,0.3713561540300196,0.3704561437621261,0.009000098431539354,0.35637490451335907,0.3556404337286949
4,0.3431589034470645,0.34254123767217,0.00617664454109741,0.33055028319358826,0.3299805223941803
5,399.05763400775015,0.3185010859460542,3987.39118759538,0.30812714248895645,0.30760256201028824
6,0.5118050629442389,0.2979004843668504,2.1390456632555774,0.28864166140556335,0.2880892902612686
7,0.2788634824030327,0.2783274036465269,0.005360792546222608,0.26932375133037567,0.2687760815024376
8,0.2620277332537102,0.2597212249582464,0.023065082051537254,0.2518140524625778,0.2511996775865555
9,0.26263867138010083,0.24268759606462537,0.1995107580371427,0.23531140759587288,0.23471759259700775
10,0.2274313031724005,0.22682747651230206,0.0060382641739014425,0.2196686714887619,0.2190309464931488
11,0.21212479110920068,0.2115180171800382,0.006067735933218942,0.20481590181589127,0.20420663803815842
12,0.19780620481028702,0.1972035946268024,0.0060260988856581125,0.19093549624085426,0.1903303675353527
13,0.18430703788092642,0.1836951013767358,0.006119365789786432,0.17793643474578857,0.17732977867126465
14,0.1717328212477944,0.1711300521185904,0.006027696005096941,0.16577855497598648,0.16516703367233276
15,0.15993155177795526,0.15932639575365817,0.006051553949487932,0.15444579347968102,0.15379301458597183
16,0.1490623838070667,0.14846047307505753,0.00601911527866667,0.14376594871282578,0.14315592497587204
17,0.13859728114171463,0.1379942541772669,0.006030260126642657,0.13381627947092056,0.13321968540549278
18,0.129074045428724,0.1284679282795299,0.006061178434527282,0.12454758398234844,0.12395026162266731
19,0.12013404861544118,0.11952886098262036,0.006051878092076742,0.11589846387505531,0.11530783958733082
20,0.11170564117756757,0.11110460645321643,0.00601034134513501,0.10788651555776596,0.10726206190884113
21,0.10407070431745413,0.10346289656379005,0.006078073924238031,0.10039784386754036,0.09977882169187069
22,0.09677243074684432,0.0961648320609873,0.006075984784260843,0.09342519752681255,0.0928275603801012
23,0.09003573588349602,0.08943074083689487,0.006049950945783745,0.08698242157697678,0.08637612499296665
24,0.0838788106585994,0.08327426445303542,0.006045460446991704,0.08098058588802814,0.08039970882236958
25,0.07806733950521007,0.07746132688991951,0.006060131853728583,0.07549752108752728,0.07486951909959316
26,0.07278542672142838,0.0721819999091553,0.0060342679392885075,0.0703534409403801,0.0697544626891613
27,0.06798991944753763,0.06737911926977562,0.006108000394747112,0.0656779371201992,0.06503921560943127
28,0.06334259417472464,0.0627370227241155,0.006055715268082691,0.06128594372421503,0.06068066321313381
29,0.05924081881389474,0.05863745126760367,0.00603367214683782,0.05731677729636431,0.05667568650096655
30,0.05533286477580215,0.054727113833933166,0.006057509898462079,0.05357925873249769,0.05299277510493994
31,0.05182967368852009,0.05122257261113687,0.006071009235738805,0.0502327885478735,0.04961045179516077
32,0.04861588651935259,0.04800171743739735,0.006141691779096921,0.04711062181740999,0.04651013668626547
33,0.0456858602437106,0.04508056581923456,0.00605294465397795,0.044256335124373436,0.043670703656971455
34,0.04297425789815007,0.042368470154928436,0.006057876218674761,0.04172263573855162,0.04107416234910488
35,0.04051315739299312,0.0399004290952827,0.006127282158669197,0.03930858243256807,0.03870415594428778
36,0.038098941923994004,0.03748175332492048,0.006171884170422952,0.03720006626099348,0.03654008824378252
37,0.03640978535016378,0.03580113816441911,0.0060864706580160246,0.03516005352139473,0.03457330632954836
