epoch,train_loss,train_mse,train_phys,val_loss,val_mse
1,3676359920.4201884,0.47519235267783655,36763598232.8492,0.9151662290096283,0.4017154350876808
2,17071.78607595328,0.40306904550754663,170713.82551471336,0.38822677731513977,0.3876587897539139
3,0.37140928434603143,0.37081278183243493,0.005965030357015856,0.355853408575058,0.35522477328777313
4,824.3027782467278,0.34214795629183453,8239.60625825045,0.33002106845378876,0.32943588495254517
5,809.7716257508957,0.31797896461053327,8094.536170551469,0.3072238862514496,0.3066020607948303
6,0.3047439455986023,0.2961424679467172,0.08601479062979872,0.2864105626940727,0.285797119140625
7,0.2929435074329376,0.27606678370273474,0.16876723117787729,0.2671879082918167,0.2665739730000496
8,0.2591971917585893,0.25750614522081433,0.016910465462415508,0.2493232637643814,0.2487204633653164
9,0.5939184653036522,0.24014194716106763,3.537765160696863,0.23258013650774956,0.23196228593587875
10,18.390246482509554,0.22430748108661536,181.65937067452592,0.21747247502207756,0.21688034385442734
11,0.20992257829868433,0.20932128032048544,0.006012980614534833,0.20252980664372444,0.20189883932471275
12,799.9737783954902,0.19479192206353851,7997.790003462102,0.18852543085813522,0.1879127286374569
13,0.1820501856731646,0.1814445514570583,0.006056343205273151,0.1756625846028328,0.17507494986057281
14,2856.8226046291265,0.1692634369387771,28566.533032326322,0.1643361561000347,0.16373205929994583
15,128.6422731442885,0.15810559193293253,1284.8416313087482,0.15320123359560966,0.15258267149329185
16,689.2318066403722,0.1472713527354327,6890.84487295107,0.14269937947392464,0.14210637286305428
17,0.13751799951900134,0.1369112910646381,0.0060670839509729185,0.13262590765953064,0.1320190615952015
18,0.12789218150305026,0.1272868471163692,0.006053342737934806,0.12323853746056557,0.12261581048369408
19,0.11874883779973695,0.11813719390016614,0.006116434423760934,0.11453250795602798,0.11389719694852829
20,0.11030329696156761,0.10969114077813698,0.006121564275500449,0.10638801380991936,0.1057706419378519
21,0.10256733880801634,0.10195478977579059,0.006125493116225257,0.09888882748782635,0.09824944287538528
22,0.09520911922057469,0.09461094280987074,0.005981759238762386,0.09188652411103249,0.0912757609039545
23,0.08855743164365942,0.08794606589909756,0.006113662215119059,0.08544503711163998,0.08481854572892189
24,0.08231824568726799,0.08171181313016197,0.006064327320817745,0.0794952493160963,0.07885363884270191
25,0.07663932171734897,0.07602704542152809,0.006122760319461425,0.07395321317017078,0.07334051467478275
26,0.07134408526348346,0.07073858177120035,0.006055037759131555,0.06889442354440689,0.06825653277337551
27,0.06641947116815683,0.06581212264118773,0.006073485495466174,0.06418599002063274,0.06358244828879833
28,0.06192706028620402,0.06131827695803209,0.006087832900723724,0.05988249648362398,0.05927662178874016
29,0.060834929911476196,0.05721924521706321,0.03615684956876618,0.05595041811466217,0.05536075867712498
30,0.05407277460802685,0.05346580335136616,0.00606971253838503,0.05240433104336262,0.051777638494968414
31,71.69791412240627,0.05004155184283401,716.4786998449797,0.04914416838437319,0.04853671882301569
32,0.04750526165871909,0.04690030680009813,0.006049547753663677,0.04608454369008541,0.04547592345625162
33,0.04455716591892821,0.04395550952264757,0.0060165665451098575,0.04328529257327318,0.042677316814661026
34,0.04186698015440594,0.041265966314257996,0.00601013811926047,0.04072005022317171,0.0401286706328392
35,0.03948673097924753,0.038878935078779854,0.006077958948232911,0.03840418718755245,0.037799956277012825
36,0.03731664191141273,0.036709677202231956,0.006069646245150855,0.036286511458456516,0.03568856883794069
37,0.035198363052173096,0.034596588236816,0.006017748675676006,0.034361280500888824,0.033763615414500237
38,0.03341862446430958,0.03281553919342431,0.006030853372067213,0.032619209960103035,0.03201733436435461
39,0.03177987067311099,0.031167961939266235,0.006119084544479847,0.031058529391884804,0.030438754707574844
40,0.030424830814202625,0.029820788764592373,0.006040419931664612,0.029656671918928623,0.029009216465055943
41,0.02887504468813087,0.028270506328254036,0.006045384403092392,0.028356426395475864,0.027731191366910934
